Date,dji,hsi,n225,aord,sp500,sp500_Price,label
2017-05-10T00:00:00.000+0000,-0.000676944,0.002199839,0.001247705,0.002697406,0.000490737,2399.629883,1
2017-05-11T00:00:00.000+0000,-0.000491523,0.001907793,0.001339241,6.61E-05,-0.000940313,2394.439941,0
2017-05-12T00:00:00.000+0000,-0.000473813,0.000531862,-0.001692699,-0.00302975,-0.000642554,2390.899902,0
2017-05-15T00:00:00.000+0000,0.001769805,0.003700229,-0.000306999,-0.000184975,0.002069475,2402.320068,1
2017-05-16T00:00:00.000+0000,-4.53E-05,-0.000610669,0.001090837,0.0010201,-0.000298418,2400.669922,0
2017-05-17T00:00:00.000+0000,-0.007787019,-0.000725836,-0.002293951,-0.004527266,-0.007967336,2357.030029,0
2017-05-18T00:00:00.000+0000,0.001180497,-0.002706032,-0.005758978,-0.003422947,0.001598221,2365.719971,1
2017-05-19T00:00:00.000+0000,0.002970591,0.000662078,0.000818792,-0.000496585,0.002929187,2381.72998,1
2017-05-22T00:00:00.000+0000,0.001874467,0.003718396,0.001935841,0.003172834,0.002235254,2394.02002,1
2017-05-23T00:00:00.000+0000,0.000894488,0.000201961,-0.001436907,-0.000628249,0.000797445,2398.419922,1
2017-05-24T00:00:00.000+0000,0.001542739,0.000433163,0.002862503,0.000658135,0.001079671,2404.389893,1
2017-05-25T00:00:00.000+0000,0.001455291,0.003441069,0.001540392,0.001283417,0.001924842,2415.070068,1
2017-05-26T00:00:00.000+0000,-5.50E-05,0.000143837,-0.0027771,-0.002743081,0.000134849,2415.820068,1
2017-05-31T00:00:00.000+0000,-0.001478207,0.000362012,-0.000800849,-0.002315583,-0.000723285,2411.800049,0
2017-06-01T00:00:00.000+0000,0.002792687,0.002507232,0.004604726,0.000843466,0.003275708,2430.060059,1
2017-06-02T00:00:00.000+0000,0.001273836,0.001927972,0.006882721,0.003641126,0.001607269,2439.070068,1
2017-06-06T00:00:00.000+0000,-0.001437141,0.00122272,-0.004269287,-0.008513487,-0.001737749,2429.330078,0
2017-06-07T00:00:00.000+0000,0.000769003,-0.000384069,0.000102557,-2.28E-05,0.000680552,2433.139893,1
2017-06-08T00:00:00.000+0000,0.000181277,0.001483899,-0.001640763,0.000532289,0.00011603,2433.790039,1
2017-06-09T00:00:00.000+0000,0.00182991,-0.000546422,0.002262719,5.32E-05,-0.000360609,2431.77002,0
2017-06-13T00:00:00.000+0000,0.001151991,-0.00298317,-0.002492037,0.00650851,0.001529636,2440.350098,1
2017-06-14T00:00:00.000+0000,0.000937478,0.00039965,-0.000332536,0.004497906,-0.000432699,2437.919922,0
2017-06-15T00:00:00.000+0000,-0.000297971,-0.0052439,-0.001130681,-0.004879806,-0.000973736,2432.459961,0
2017-06-16T00:00:00.000+0000,0.000495395,0.00103756,0.002433567,0.000845768,0.000123165,2433.149902,1
2017-06-19T00:00:00.000+0000,0.002929043,0.00502211,0.002702536,0.002051466,0.003610109,2453.459961,1
2017-06-20T00:00:00.000+0000,-0.00124946,-0.001367656,0.003506006,-0.003227041,-0.002918094,2437.030029,0
2017-06-21T00:00:00.000+0000,-0.00115694,-0.00250206,-0.001971335,-0.006732416,-0.000253113,2435.610107,0
2017-06-22T00:00:00.000+0000,-0.000258508,-0.000339034,-0.000610274,0.002967247,-0.000197989,2434.5,0
2017-06-23T00:00:00.000+0000,-5.13E-05,-7.58E-05,0.000478294,0.000929286,0.000677369,2438.300049,1
2017-06-26T00:00:00.000+0000,0.000300141,0.003401439,0.000445866,0.000286673,0.000137129,2439.070068,1
2017-06-27T00:00:00.000+0000,-0.002010652,-0.000535821,0.001543221,-0.000445195,-0.003520211,2419.379883,0
2017-06-28T00:00:00.000+0000,0.002923708,-0.002638139,-0.002037836,0.00327925,0.003808546,2440.689941,1
2017-06-29T00:00:00.000+0000,-0.003405554,0.004741144,0.001934988,0.004457767,-0.003751096,2419.699951,0
2017-06-30T00:00:00.000+0000,0.001275312,-0.003372282,-0.004032305,-0.006869672,0.000665364,2423.409912,1
2017-07-03T00:00:00.000+0000,0.002629137,0.000330086,0.000484701,-0.002758874,0.001002425,2429.01001,1
2017-07-05T00:00:00.000+0000,-2.22E-05,-0.004438949,0.000558973,0.005537768,0.000630693,2432.540039,1
2017-07-06T00:00:00.000+0000,-0.003209278,-0.000966761,-0.001897977,-0.000262108,-0.004088008,2409.75,0
2017-07-07T00:00:00.000+0000,0.001916695,-0.002126273,-0.001413538,-0.004033894,0.002771977,2425.179932,1
2017-07-10T00:00:00.000+0000,-0.000118055,0.00272004,0.003297449,0.001434213,0.000402737,2427.429932,1
2017-07-11T00:00:00.000+0000,1.12E-05,0.006383466,0.002469276,0.000421821,-0.000340047,2425.530029,0
2017-07-12T00:00:00.000+0000,0.002489399,0.002777017,-0.002093118,-0.003841517,0.003161252,2443.25,1
2017-07-13T00:00:00.000+0000,0.000422332,0.005015795,3.09E-05,0.004638837,0.000813359,2447.830078,1
2017-07-14T00:00:00.000+0000,0.001702363,0.000709238,0.000411391,0.002218745,0.002024949,2459.27002,1
2017-07-18T00:00:00.000+0000,-0.001266524,0.002227675,-0.00257531,-0.005303266,0.000236588,2460.610107,1
2017-07-19T00:00:00.000+0000,0.001326929,0.002403789,0.00045467,0.00310705,0.002327062,2473.830078,1
2017-07-20T00:00:00.000+0000,-0.000581784,0.001106639,0.002675714,0.001971859,-6.67E-05,2473.449951,0
2017-07-21T00:00:00.000+0000,-0.000637668,-0.000554523,-0.000967774,-0.002588466,-0.000159794,2472.540039,0
2017-07-24T00:00:00.000+0000,-0.001348448,0.002282708,-0.002689303,-0.002505596,-0.00046222,2469.909912,0
2017-07-25T00:00:00.000+0000,0.00201928,8.44E-05,-0.000445285,0.00281399,0.001267665,2477.129883,1
2017-07-26T00:00:00.000+0000,0.001956335,0.001436567,0.002061778,0.003594616,0.000122742,2477.830078,1
2017-07-27T00:00:00.000+0000,0.001707751,0.003054495,0.00063809,0.000663273,-0.000422639,2475.419922,0
2017-07-28T00:00:00.000+0000,0.00067214,-0.002436385,-0.002598884,-0.005771988,-0.00058283,2472.100098,0
2017-07-31T00:00:00.000+0000,0.001208051,0.005511985,-0.000754806,0.001408815,-0.000316345,2470.300049,0
2017-08-01T00:00:00.000+0000,0.001441887,0.003423449,0.001319053,0.003498512,0.001062337,2476.350098,1
2017-08-02T00:00:00.000+0000,0.001033304,0.001057636,0.002043254,-0.001951795,0.000213902,2477.570068,1
2017-08-03T00:00:00.000+0000,0.000194443,-0.001203066,-0.001099654,-0.000577509,-0.000949386,2472.159912,0
2017-08-04T00:00:00.000+0000,0.001313369,0.000499298,-0.001671278,-0.001014347,0.000819653,2476.830078,1
2017-08-07T00:00:00.000+0000,0.000503131,0.002007154,0.002248332,0.003834539,0.000714781,2480.909912,1
2017-08-08T00:00:00.000+0000,-0.000650012,0.00257317,-0.001298612,-0.002152738,-0.001049843,2474.919922,0
2017-08-09T00:00:00.000+0000,-0.000721113,-0.001527831,-0.005624553,0.001548347,-0.000157942,2474.02002,0
2017-08-10T00:00:00.000+0000,-0.004050611,-0.00492652,-0.00019742,-0.000433271,-0.006332108,2438.209961,0
2017-08-14T00:00:00.000+0000,0.002966151,-0.003077231,-0.004261277,-0.002398346,0.004893808,2465.840088,1
2017-08-15T00:00:00.000+0000,0.000104234,-0.001201251,0.004779801,0.001904763,-0.000216684,2464.610107,0
2017-08-16T00:00:00.000+0000,0.00051059,0.003725376,-0.000528671,0.002000727,0.000616305,2468.110107,1
2017-08-17T00:00:00.000+0000,-0.00543949,-0.001028754,-0.000587,-0.000268192,-0.006756468,2430.01001,0
2017-08-18T00:00:00.000+0000,-0.001524563,-0.004737292,-0.00514912,-0.002144277,-0.000797822,2425.550049,0
2017-08-21T00:00:00.000+0000,0.000585495,0.001716426,-0.001727172,-0.001387823,0.00050464,2428.370117,1
2017-08-22T00:00:00.000+0000,0.003907168,0.003932346,-0.000208115,0.001859408,0.004295909,2452.51001,1
2017-08-24T00:00:00.000+0000,-0.002316272,0.001849299,-0.000674248,-0.000231964,-0.002404335,2438.969971,0
2017-08-25T00:00:00.000+0000,0.000603063,0.005170179,0.002212301,0.000127215,0.000725911,2443.050049,1
2017-08-28T00:00:00.000+0000,-0.000104925,0.000235873,-6.05E-05,-0.002416358,0.000211481,2444.23999,1
2017-08-29T00:00:00.000+0000,0.001133002,-0.00153455,-0.001954812,-0.002838741,0.000365879,2446.300049,1
2017-08-30T00:00:00.000+0000,0.00053715,0.005125168,0.003217652,1.51E-05,0.001999723,2457.590088,1
2017-08-31T00:00:00.000+0000,0.001102959,-0.001925861,0.003099229,0.003207201,0.002477508,2471.649902,1
2017-09-01T00:00:00.000+0000,0.000780126,-0.000266224,0.000998703,0.000736216,0.000860154,2476.550049,1
2017-09-05T00:00:00.000+0000,-0.004651689,-0.003303327,-0.006794189,-0.001375765,-0.003291717,2457.850098,0
2017-09-06T00:00:00.000+0000,0.001083322,-0.002002043,-0.000624136,-0.00112336,0.001356667,2465.540039,1
2017-09-07T00:00:00.000+0000,-0.000455517,-0.001431036,0.00086398,6.79E-05,-7.75E-05,2465.100098,0
2017-09-08T00:00:00.000+0000,0.000259281,0.002290649,-0.00273347,-0.001088261,-0.000647081,2461.429932,0
2017-09-11T00:00:00.000+0000,0.005141266,0.004476374,0.006062436,0.002986208,0.004682118,2488.110107,1
2017-09-12T00:00:00.000+0000,0.001209016,0.00026572,0.005099276,0.002054249,0.001458492,2496.47998,1
2017-09-13T00:00:00.000+0000,0.000771352,-0.001215206,0.001954453,-0.00017954,0.000328689,2498.370117,1
2017-09-14T00:00:00.000+0000,0.000886977,-0.00182359,-0.001278166,-0.000419239,-0.000478299,2495.620117,0
2017-09-15T00:00:00.000+0000,0.001266784,0.000474895,0.002232016,-0.003202484,0.000801481,2500.22998,1
2017-09-19T00:00:00.000+0000,0.00199369,0.003791349,0.008422438,0.001250731,0.001113723,2506.649902,1
2017-09-20T00:00:00.000+0000,0.000810513,0.001181079,0.000236988,-0.000203164,0.000275406,2508.23999,1
2017-09-21T00:00:00.000+0000,-0.001035191,-0.000269832,0.000790861,-0.00400783,-0.001324844,2500.600098,0
2017-09-22T00:00:00.000+0000,-0.000187295,-0.003564931,-0.001090574,0.001811877,0.000281242,2502.219971,1
2017-09-25T00:00:00.000+0000,-0.001040852,-0.005962954,0.00215858,8.32E-05,-0.000966098,2496.659912,0
